scenario,year,variable,commodity,sector,subsector,value
BAU,2017,energy demand,ElecDist,Apparel,,297.0
BAU,2017,energy demand,GasDist,Apparel,,324.0
BAU,2017,domestic demand,,Apparel,,26240.0
BAU,2017,commodity price,,Apparel,,1.0
BAU,2017,investment,,Apparel,,70.0
BAU,2017,government consumption,Apparel,,,9.0
BAU,2017,household consumption,Apparel,RuralHH,,9.0
BAU,2017,household consumption,Apparel,UrbanHH,,7174.0
BAU,2017,output,,WoodPr,,23888.0
BAU,2017,production cost,,WoodPr,,1.0
BAU,2017,capital demand,,WoodPr,,409.0
BAU,2017,labor demand,,WoodPr,,1582.0
BAU,2017,CO2,,WoodPr,,199.82997
BAU,2017,energy demand,Coal,WoodPr,,89.0
BAU,2017,energy demand,RefPet,WoodPr,,121.0
BAU,2017,energy demand,ElecDist,WoodPr,,281.0
BAU,2017,energy demand,GasDist,WoodPr,,712.0
BAU,2017,domestic demand,,WoodPr,,23834.0
BAU,2017,commodity price,,WoodPr,,1.0
BAU,2017,investment,,WoodPr,,8.0
BAU,2017,government consumption,WoodPr,,,5.0
BAU,2017,household consumption,WoodPr,RuralHH,,121.0
BAU,2017,household consumption,WoodPr,UrbanHH,,182.0
BAU,2017,output,,PaperPr,,27241.0
BAU,2017,production cost,,PaperPr,,1.0
BAU,2017,capital demand,,PaperPr,,132.0
BAU,2017,labor demand,,PaperPr,,3945.0
BAU,2017,CO2,,PaperPr,,48.05705
BAU,2017,energy demand,Coal,PaperPr,,385.0
BAU,2017,energy demand,RefPet,PaperPr,,217.0
BAU,2017,energy demand,ElecDist,PaperPr,,1072.0
BAU,2017,energy demand,GasDist,PaperPr,,391.0
BAU,2017,domestic demand,,PaperPr,,27167.0
BAU,2017,commodity price,,PaperPr,,1.0
BAU,2017,investment,,PaperPr,,35.0
BAU,2017,government consumption,PaperPr,,,40.0
BAU,2017,household consumption,PaperPr,RuralHH,,8.0
BAU,2017,household consumption,PaperPr,UrbanHH,,5220.0
BAU,2017,output,,RefPet,,20385.0
BAU,2017,production cost,,RefPet,,1.0
BAU,2017,capital demand,,RefPet,,538.0
BAU,2017,labor demand,,RefPet,,227.0
BAU,2017,CO2,,RefPet,,75.89668
BAU,2017,energy demand,Coal,RefPet,,177.0
BAU,2017,energy demand,RefPet,RefPet,,486.0
BAU,2017,energy demand,ElecDist,RefPet,,993.0
BAU,2017,energy demand,GasDist,RefPet,,492.0
BAU,2017,domestic demand,,RefPet,,20346.0
BAU,2017,commodity price,,RefPet,,1.0
BAU,2017,investment,,RefPet,,43.0
BAU,2017,government consumption,RefPet,,,3.0
BAU,2017,household consumption,RefPet,RuralHH,,207.0
BAU,2017,household consumption,RefPet,UrbanHH,,311.0
BAU,2017,output,,Chemical,,20521.0
BAU,2017,production cost,,Chemical,,1.0
BAU,2017,capital demand,,Chemical,,907.0
BAU,2017,labor demand,,Chemical,,1880.0
BAU,2017,CO2,,Chemical,,43.69196
BAU,2017,energy demand,Coal,Chemical,,352.0
BAU,2017,energy demand,RefPet,Chemical,,21.0
BAU,2017,energy demand,ElecDist,Chemical,,580.0
BAU,2017,energy demand,GasDist,Chemical,,99.0
BAU,2017,domestic demand,,Chemical,,20506.0
BAU,2017,commodity price,,Chemical,,1.0
BAU,2017,investment,,Chemical,,5.0
BAU,2017,government consumption,Chemical,,,0.0
BAU,2017,household consumption,Chemical,RuralHH,,333.0
BAU,2017,household consumption,Chemical,UrbanHH,,499.0
BAU,2017,output,,NMetPr,,21239.0
BAU,2017,production cost,,NMetPr,,1.0
BAU,2017,capital demand,,NMetPr,,4983.0
BAU,2017,labor demand,,NMetPr,,589.0
BAU,2017,CO2,,NMetPr,,360.66483
BAU,2017,energy demand,Coal,NMetPr,,738.0
BAU,2017,energy demand,RefPet,NMetPr,,71.0
BAU,2017,energy demand,ElecDist,NMetPr,,5.0
BAU,2017,energy demand,GasDist,NMetPr,,797.0
BAU,2017,domestic demand,,NMetPr,,21236.0
BAU,2017,commodity price,,NMetPr,,1.0
BAU,2017,investment,,NMetPr,,6.0
BAU,2017,government consumption,NMetPr,,,403.0
BAU,2017,household consumption,NMetPr,RuralHH,,228.0
BAU,2017,household consumption,NMetPr,UrbanHH,,342.0
BAU,2017,output,,Metals,,20191.0
BAU,2017,production cost,,Metals,,1.0
BAU,2017,capital demand,,Metals,,117.0
BAU,2017,labor demand,,Metals,,96.0
BAU,2017,CO2,,Metals,,330.51907
BAU,2017,energy demand,Coal,Metals,,127.0
BAU,2017,energy demand,RefPet,Metals,,87.0
BAU,2017,energy demand,ElecDist,Metals,,447.0
BAU,2017,energy demand,GasDist,Metals,,573.0
BAU,2017,domestic demand,,Metals,,20190.0
BAU,2017,commodity price,,Metals,,1.0
BAU,2017,investment,,Metals,,2.0
BAU,2017,government consumption,Metals,,,1.0
BAU,2017,household consumption,Metals,RuralHH,,983.0
BAU,2017,household consumption,Metals,UrbanHH,,2734.0
BAU,2017,output,,MetalPr,,22931.0
BAU,2017,production cost,,MetalPr,,1.0
BAU,2017,capital demand,,MetalPr,,1562.0
BAU,2017,labor demand,,MetalPr,,415.0
BAU,2017,CO2,,MetalPr,,163.00363
BAU,2017,energy demand,Coal,MetalPr,,856.0
BAU,2017,energy demand,RefPet,MetalPr,,93.0
BAU,2017,energy demand,ElecDist,MetalPr,,610.0
BAU,2017,energy demand,GasDist,MetalPr,,751.0
BAU,2017,domestic demand,,MetalPr,,22925.0
BAU,2017,commodity price,,MetalPr,,1.0
BAU,2017,investment,,MetalPr,,0.0
BAU,2017,government consumption,MetalPr,,,0.0
BAU,2017,household consumption,MetalPr,RuralHH,,5.0
BAU,2017,household consumption,MetalPr,UrbanHH,,8.0
BAU,2017,output,,GenEqp,,23230.0
BAU,2017,production cost,,GenEqp,,1.0
BAU,2017,capital demand,,GenEqp,,639.0
BAU,2017,labor demand,,GenEqp,,875.0
BAU,2017,CO2,,GenEqp,,148.17355
BAU,2017,energy demand,Coal,GenEqp,,239.0
BAU,2017,energy demand,RefPet,GenEqp,,52.0
BAU,2017,energy demand,ElecDist,GenEqp,,590.0
BAU,2017,energy demand,GasDist,GenEqp,,765.0
BAU,2017,domestic demand,,GenEqp,,23225.0
BAU,2017,commodity price,,GenEqp,,1.0
BAU,2017,investment,,GenEqp,,0.0
BAU,2017,government consumption,GenEqp,,,0.0
BAU,2017,household consumption,GenEqp,RuralHH,,0.0
BAU,2017,household consumption,GenEqp,UrbanHH,,796.0
BAU,2017,output,,SpecEqp,,26874.0
BAU,2017,production cost,,SpecEqp,,1.0
BAU,2017,capital demand,,SpecEqp,,330.0
BAU,2017,labor demand,,SpecEqp,,972.0
BAU,2017,CO2,,SpecEqp,,186.82784
BAU,2017,energy demand,Coal,SpecEqp,,875.0
BAU,2017,energy demand,RefPet,SpecEqp,,905.0
BAU,2017,energy demand,ElecDist,SpecEqp,,318.0
BAU,2017,energy demand,GasDist,SpecEqp,,389.0
BAU,2017,domestic demand,,SpecEqp,,26873.0
BAU,2017,commodity price,,SpecEqp,,1.0
BAU,2017,investment,,SpecEqp,,2920.0
BAU,2017,government consumption,SpecEqp,,,337.0
BAU,2017,household consumption,SpecEqp,RuralHH,,50.0
BAU,2017,household consumption,SpecEqp,UrbanHH,,75.0
BAU,2017,output,,TransEqp,,24600.0
BAU,2017,production cost,,TransEqp,,1.0
BAU,2017,capital demand,,TransEqp,,935.0
BAU,2017,labor demand,,TransEqp,,451.0
BAU,2017,CO2,,TransEqp,,495.8711
BAU,2017,energy demand,Coal,TransEqp,,489.0
BAU,2017,energy demand,RefPet,TransEqp,,434.0
BAU,2017,energy demand,ElecDist,TransEqp,,454.0
BAU,2017,energy demand,GasDist,TransEqp,,655.0
BAU,2017,domestic demand,,TransEqp,,24594.0
BAU,2017,commodity price,,TransEqp,,1.0
BAU,2017,investment,,TransEqp,,139.0
BAU,2017,government consumption,TransEqp,,,3.0
BAU,2017,household consumption,TransEqp,RuralHH,,89.0
BAU,2017,household consumption,TransEqp,UrbanHH,,133.0
BAU,2017,output,,ElecEqp,,33188.0
BAU,2017,production cost,,ElecEqp,,1.0
BAU,2017,capital demand,,ElecEqp,,2521.0
BAU,2017,labor demand,,ElecEqp,,1664.0
BAU,2017,CO2,,ElecEqp,,110.00902
BAU,2017,energy demand,Coal,ElecEqp,,619.0
BAU,2017,energy demand,RefPet,ElecEqp,,994.0
BAU,2017,energy demand,ElecDist,ElecEqp,,191.0
BAU,2017,energy demand,GasDist,ElecEqp,,952.0
BAU,2017,domestic demand,,ElecEqp,,33184.0
BAU,2017,commodity price,,ElecEqp,,1.0
BAU,2017,investment,,ElecEqp,,3.0
BAU,2017,government consumption,ElecEqp,,,2.0
BAU,2017,household consumption,ElecEqp,RuralHH,,8981.0
BAU,2017,household consumption,ElecEqp,UrbanHH,,2243.0
BAU,2017,output,,ICTEqp,,25087.0
BAU,2017,production cost,,ICTEqp,,1.0
BAU,2017,capital demand,,ICTEqp,,838.0
BAU,2017,labor demand,,ICTEqp,,1125.0
BAU,2017,CO2,,ICTEqp,,28026.39
BAU,2017,energy demand,Coal,ICTEqp,,789.0
BAU,2017,energy demand,RefPet,ICTEqp,,868.0
BAU,2017,energy demand,ElecDist,ICTEqp,,276.0
BAU,2017,energy demand,GasDist,ICTEqp,,99.0
BAU,2017,domestic demand,,ICTEqp,,25077.0
BAU,2017,commodity price,,ICTEqp,,1.0
BAU,2017,investment,,ICTEqp,,3.0
BAU,2017,government consumption,ICTEqp,,,2.0
BAU,2017,household consumption,ICTEqp,RuralHH,,278.0
BAU,2017,household consumption,ICTEqp,UrbanHH,,196.0
BAU,2017,output,,PrecInst,,23966.0
BAU,2017,production cost,,PrecInst,,1.0
BAU,2017,capital demand,,PrecInst,,2801.0
BAU,2017,labor demand,,PrecInst,,3200.0
BAU,2017,CO2,,PrecInst,,87.215195
BAU,2017,energy demand,Coal,PrecInst,,110.0
BAU,2017,energy demand,RefPet,PrecInst,,548.0
BAU,2017,energy demand,ElecDist,PrecInst,,796.0
BAU,2017,energy demand,GasDist,PrecInst,,574.0
BAU,2017,domestic demand,,PrecInst,,23959.0
BAU,2017,commodity price,,PrecInst,,1.0
BAU,2017,investment,,PrecInst,,1.0
BAU,2017,government consumption,PrecInst,,,0.0
BAU,2017,household consumption,PrecInst,RuralHH,,277.0
BAU,2017,household consumption,PrecInst,UrbanHH,,904.0
BAU,2017,output,,OthMfg,,22860.0
BAU,2017,production cost,,OthMfg,,1.0
BAU,2017,capital demand,,OthMfg,,280.0
BAU,2017,labor demand,,OthMfg,,55.0
BAU,2017,CO2,,OthMfg,,35.63678
BAU,2017,energy demand,Coal,OthMfg,,243.0
BAU,2017,energy demand,RefPet,OthMfg,,979.0
BAU,2017,energy demand,ElecDist,OthMfg,,931.0
BAU,2017,energy demand,GasDist,OthMfg,,1243.0
BAU,2017,domestic demand,,OthMfg,,22817.0
BAU,2017,commodity price,,OthMfg,,1.0
BAU,2017,investment,,OthMfg,,2.0
BAU,2017,government consumption,OthMfg,,,3.0
BAU,2017,household consumption,OthMfg,RuralHH,,3039.0
BAU,2017,household consumption,OthMfg,UrbanHH,,893.0
BAU,2017,output,,Waste,,25274.0
BAU,2017,production cost,,Waste,,1.0
BAU,2017,capital demand,,Waste,,211.0
BAU,2017,labor demand,,Waste,,688.0
BAU,2017,CO2,,Waste,,300.91074
BAU,2017,energy demand,Coal,Waste,,590.0
BAU,2017,energy demand,RefPet,Waste,,577.0
BAU,2017,energy demand,ElecDist,Waste,,219.0
BAU,2017,energy demand,GasDist,Waste,,67.0
BAU,2017,domestic demand,,Waste,,25236.0
BAU,2017,commodity price,,Waste,,1.0
BAU,2017,investment,,Waste,,0.0
BAU,2017,government consumption,Waste,,,0.0
BAU,2017,household consumption,Waste,RuralHH,,1260.0
BAU,2017,household consumption,Waste,UrbanHH,,2611.0
BAU,2017,output,,MachRep,,24811.0
BAU,2017,production cost,,MachRep,,1.0
BAU,2017,capital demand,,MachRep,,901.0
BAU,2017,labor demand,,MachRep,,3236.0
BAU,2017,CO2,,MachRep,,46.864544
