,AgFFF,Coal,OilGas,OXT,FoodPr,Textile,Apparel,LEA,WoodPr,PaperPr,RefPet,Chemical,NMetPr,Metals,MachRep,MetalPr,GenEqp,TransEqp,ElecEqp,ICTEqp,OthMfg,MVH,BPH,RPP,Elec,GasDist,WatDist,Constr,WhRetTr,TranspSrv,OTP,HotRest,ICTServ,Finance,INS,RealEst and Dwellings,BusServe,Education,Health,RecEnt,PubAdm,WHS,L,K,T,Rural HH,Urban HH,Govt,S,ROW
Metals,117.413,157.279,3889.171,1598.531,20.803,426.369,2.563,0.911,266.187,125.161,88.472,137.91,933.914,30556.244,989.978,49219.726,22852.752,6799.169,5685.219,648.093,6245.091,22685.402,3.179,1685.637,866.809,66.2,558.457,6846.621,2000.225,86.282,1050.984,353.018,1113.161,0.284,5.508,1566.782,4956.06,186.094,564.175,419.454,181.977,99.803,0,0,0,325.36,323.591,31.974,8.461,22677.66
MachRep,10.98,0.168,57.182,272.043,6747.083,18.584,0.088,14.837,195.49,529.214,20.095,137.611,100.889,10258.126,67524.822,26722.402,8466.374,3321.951,16173.219,4673.877,6801.119,7600.596,3.573,388.249,182.882,108.282,885.374,4182.051,1619.567,1.857,23.79,80.095,599.524,2236.432,0.413,201.716,3396.943,0.914,42.879,137.055,378.623,71.925,0,0,0,63.981,50.868,28.202,20.816,51765.585
MetalPr,1706.358,761.158,3409.441,2690.875,17943.26,898.448,39.137,98.114,2538.047,8061.827,186.301,13059.146,3104.713,3188.868,4432.5,46413.588,42168.956,14832.513,10927.356,6691.619,11036.772,53444.68,369.222,7997.018,450.752,150.37,3178.788,71889.646,7814.805,1695.048,4107.77,3273.897,12855.747,256.231,108.629,1810.467,19238.02,672.197,3335.021,1813.881,8883.814,773.005,0,0,0,8724.253,8676.813,60.318,21356.573,32140.118
GenEqp,3747.834,1947.956,4505.048,6901.377,3768.437,71.721,15.755,2.416,516.568,2322.242,92.202,4213.02,183.864,562.602,159.603,5167.457,41470.168,4868.987,2226.875,1111.696,8212.159,23877.824,23.787,1772.561,1134.495,34.104,3779.308,29960.441,4111.712,71.428,3277.944,784.276,2806.57,84.944,68.771,370.281,10308.173,2828.977,2311.342,1029.565,3126.511,812.308,0,0,0,5074.138,5046.546,7.832,307081.23,139205.8
TransEqp,107.012,70.659,0.542,7.246,3.745,2.74,0.196,0.026,146.293,5.422,1.263,16.997,1.356,0.168,0.311,163.481,1482.976,66971.256,26.302,534.152,421.086,419.528,0.531,334.927,13.238,8.605,163.646,6439.096,757.319,3242.498,2037.923,287.12,1138.011,3.799,4.409,2930.28,6257.414,12.197,318.311,212.551,25529.716,9.052,0,0,0,9763.625,9710.533,40.1,113907.17,134912.95
ElecEqp,1369.148,39.404,254.672,267.987,1309.89,87.96,4.55,1.733,628.74,739.132,23.085,1543.56,176.097,1606.528,2150.646,3011.893,17123.053,3340.898,11989.609,2860.768,3553.751,6657.431,42.939,1561.265,276.105,24.885,1362.834,35500.264,2361.919,58.213,794.163,1166.931,5654.75,200.865,51.116,1172.059,11721.482,1173.118,2534.476,1263.736,4287.647,625.789,0,0,0,28335.334,28181.254,3.777,45155.072,55122.451
ICTEqp,34.087,29.783,132.334,311.841,2505.733,542.916,15.877,39.704,624.353,1892.95,65.253,5384.994,914.227,854.808,1589.65,3917.211,10293.179,12058.044,2737.918,31013.903,10447.153,14667.701,77.337,2039.329,62.103,24.735,1380.311,4648.664,8351.048,19.29,422.491,396.899,19431.154,960.225,462.029,678.782,27993.852,1658.426,7486.792,918.633,16311.285,215.493,0,0,0,43446.288,43210.039,63.672,256276.45,141560.17
OthMfg,1047.171,80.038,572.668,814.057,4399.868,324.463,202.695,55.171,1121.18,2123.595,206.322,4407.795,1098.327,1129.06,646.766,2028.801,3830.175,1239.52,1147.581,958.128,13329.506,2460.801,394.22,1469.086,724.717,121.266,4312.934,15818.742,46207.408,1022.745,17748.866,15663.443,9348.393,8688.251,2697.452,6687.549,40837.106,8500.819,71678.215,7320.584,16044.843,2083.635,0,0,0,179041.345,178067.765,49.166,80750.705,46710.59
MVH,804.383,419.841,389.266,1016.871,3058.553,102.99,5.071,0.408,644.601,1319.326,27.765,1605.784,580.593,553.196,367.553,1318.721,17893.613,3695.352,578.355,548.188,19794.543,174954.18,85.194,544.767,165.932,1.857,1607.43,3132.179,12337.471,5.203,4599.301,836.23,3638.179,83.101,119.988,43.618,14243.577,1854.328,3633.581,1115.74,7789.076,3989.065,0,0,0,133086.095,100917.535,315.894,249421.48,143306.28
BPH,612.07,0.054,0.531,0.794,777.858,0.156,0.032,1.067,43.316,2.898,0.056,142.87,0.186,0.033,0.025,1.92,0.962,0.984,0.29,96.644,35.482,0.837,26155.974,3.053,0.271,0.042,2.151,323.521,1841.295,1.563,0.323,76.12,2.1,1.729,1.042,4.559,6968.828,30.375,44040.402,372.749,687.912,0.168,0,0,0,90209.485,70295.035,4.803,22.444,53956.285
